region,vessel_class,vessels_available_prompt,vessels_available_30d,cargo_size_kb,avg_ballast_days_to_load,notes
Arabian Gulf,VLCC,34,58,2000,3.0,Prompt tonnage list AG for 30-day laycan
Arabian Gulf,Suezmax,19,31,1000,2.5,AG Suezmax availability
Arabian Gulf,Aframax,26,44,650,2.0,AG Aframax availability
West Africa,VLCC,12,21,2000,6.5,WAF VLCC prompt list
West Africa,Suezmax,17,29,1000,5.0,WAF Suezmax prompt list
US Gulf,VLCC,7,14,2000,9.0,USG VLCC availability constrained by lightering
US Gulf,Suezmax,11,20,1000,8.0,USG Suezmax availability
Latin America,VLCC,5,10,2000,8.5,Brazil and Guyana VLCC
Latin America,Suezmax,8,15,1000,7.0,LatAm Suezmax
Black Sea,Suezmax,9,16,1000,4.0,Black Sea Suezmax subject to Bosphorus queuing
Black Sea,Aframax,14,24,650,3.5,Black Sea Aframax
Baltic,VLCC,4,9,2000,7.5,Baltic VLCC requires Skaw STS transfer
Baltic,Suezmax,10,18,1000,6.0,Baltic Suezmax
Far East Russia,Aframax,15,26,650,5.5,Kozmino Aframax shuttle fleet
Far East Russia,Suezmax,6,12,1000,6.5,Far East Suezmax
North Sea,Suezmax,9,17,1000,4.5,North Sea Suezmax
